	text	category
0	its their character not their color that matters	0
1	don't be afraid to love again everyone is not like your ex	0
2	putting bows on your pet	0
3	i love everything and everybody! except for squirrels i hate squirrels	0
4	everybody loves chocolate chip cookies, even hitler	0
5	go sports! do the thing! win the points!	0
6	fine you're right. now can we fucking drop it?	0
7	tattoos are bad for your health i know 5 million people that had tattoos and they all died	1
8	how long can i run? till the chain tightens	0
9	what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored	0
10	jew mad? get fuhrerious!	1
11	removes polish with chemicals, nobody bats an eye	0
12	brother... a day without a blast is a day wasted	1
13	when you're the only dog left at the dog shelter and the black family wants to adopt you	0
14	voting for hillary is like letting casey anthony watch your kids because she's not guilty	0
15	they will soon be free	0
16	"is it ok for your son or daughter to call another man ""daddy?"	0
17	most religions are religions of peace	0
18	when you find out there's an opening for the role of first lady	0
19	if people reject me because i stand on the truth then i have no problem walking alone	0
20	from the bottom of my heart i would like to sincerely apologize..... for being white	0
21	lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border	0
22	just because they do this dosen't mean they'll do this	0
23	if there is no race it can't be homicide	1
24	here's to all my friends who never post about politics or religion	0
25	enjoying a day at the beach	0
26	when you come home from a long day of suicide bombinb and your wife gives you this look	1
27	is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.	0
28	when they take too long to blow out the candle	0
29	one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell	0
30	d.j. osama spin laden droppin' beats like the twin towers	1
31	move to new york they said it'll be fun they said	0
32	my sandwich-maker is very slow today	0
33	when you accidentally fall in the toilet	0
34	two woman walking home together after a nice day out together	0
35	texas churches be like... pew pew pew	0
36	i don't always have a heat stroke and get frostbite in the same week but when i do i know i'm in kentucky	0
37	doesn't wear tampons because she trips over the string	0
38	when you can't decide to pre heat the oven or just throw the meal in right away	0
39	happy shot in the face day 5-2-2011	0
40	1 bomb every minute	0
41	black power comes with a lot of responsibility	0
42	that chiken is so black no one is going to eat it	0
43	i hope both teams lose	0
44	say the damn pronouns	0
45	goin	0
46	we need problem solvers not racist and religious bigots in office	0
47	officer down	0
48	we said we would never forget why are you voting them into our government?	1
49	when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention	1
50	"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism"""	0
51	nice watch must have cost an arm and a leg	0
52	i'm sick of politics so here's a pic of michelle obama riding a unicorn	1
53	when you suck at photoshop	0
54	for the last time.. i'm not michelle obama	0
55	i'm cute	0
56	and then i told them you're going on a fun camping trip	0
57	"the jussie smollett case explained. ""how do you plead? "" ""innocent!!!"" ""black, gay, trump hater, friend of michelle obama"	0
58	please consider donating water to children in need	0
59	you're a wizard motherfucker	0
60	relax mexicans you are rapists, drug lords and criminals	1
61	hey look at me! i'm a serial pedofile	0
62	when you just finished shooting a bunch of black kids but accidently killed a squirrel	1
63	obama working to legalize medical cannabis for all of the usa	0
64	my wife just got a seashell tattoo on her inner thigh if you put your ear to it you can smell the ocean	0
65	when you beat the shit out of the tranny hooker after you nut and call it a f****t but it doesn't get back up	1
66	ring ring hello? i've been waiting for your call all damn day!!!	0
67	i like my refugees like this '' '' ''	0
68	when you get hungry you can either think about it or..	0
69	what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven	1
70	taking photo with a mosque	0
71	"""ay, tone. how'd da gas stay in if da door is made of wood?"""	0
72	what do i have in common with cow pies? the older we get, the easier for you to pick us up!	0
73	running chocolate	0
74	imagine, if you will an entire country so ignorant that the people wilfully give billions of dollars in order to elect rich criminals to rule over their lives and steal their money, but believe they are free	0
75	im never doing a garden again!	0
76	coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion	1
77	listen bitch, before you start fucking with me you should know my team is bigger	0
78	masturbation it's not just for men	0
79	what is this sleep of which you speak?	0
80	oakland mayor libby schaaf i saved 800 ms-13 rapists, murderers, molesters from ice	0
81	"what if i told you that you cant ""tolerate"" a person who agrees with you? """	0
82	look both ways before you cross the street	0
83	what kind of punch can take out 20 kids and 6 adults? a sandy hook	1
84	"she said ""choke me daddy"" so i gave her 2 popeye's biscuits without a drink"	0
85	meditation before going to school	0
86	we can kill as many as we want and your stupid government keeps bringing us in	1
87	so there is this new implant that can actually fix stupid	0
88	if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash	1
89	this cat is pushing a watermelon out of a lake. your argument is invalid	0
90	what do you call a retarded jew? auschwistic	1
91	that blackened chicken was so dry it reminded me of your mother	0
92	yo dawg, i heard you like memes  so i made a meme mocking memes you so you can can mock me knocking memes while reading mock memes	0
93	when everybody's worried about their ex but you're just here enjoying your lemonade	0
94	cannibal tribe from indonesia will take muslim refugess in any amount	1
95	when you see the gas bill	0
96	cheers to all the people who can change their minds when presented with information that contradicts their beliefs	0
97	broken chair	0
98	stop being a bitch	0
99	honestly how often do you masturbate?	0
100	spending quality time with dad	0
101	when you consume too much trans fat	0
102	when i was a boy we didn't have things like adhd. it was called being a little bastard	1
103	y'all kids claims to be victims of slavery when we were the ones who lived it	0
104	jews are the problem. not just zionists or israelis. jews. all of them	1
105	him: the dishwasher is acting weird her: what's it doing? him: chopping fucking vegetables	0
106	be happy you dont have neanderthal dna	0
107	"black people black people ""why would white america do this?"""	1
108	white people walked on all fours before black people came and showed them how to stand up	1
109	when you turn on the light and realize you have been fisting the wrong hole	0
110	its national hebrew day go pick up a hot girl	1
111	mohammad is fucked by blink hacker group! oink oink! hi! my name's mohammad! fuck you muslims!	1
112	i woke up like this	0
113	i am still so confused about the strategies in this game	0
114	"""at first, i didn t want to wear a hijab."" ""but my husband convinced me otherwise."""	0
115	i stand with hitler these was this time at auschwitz when i needed medical attention and doctor mengele was there for me	1
116	if you hold a black baby to your ear, you can hear the police sirens	1
117	meanwhile at the isis strip club	0
118	just ordered the new anne frank puzzle	1
119	what's the difference between a walrus and a lesbian? one smells like fish and has a moustache and the other is a walrus!	1
120	i'm not transphobic i just think trans people shouldn't exist	1
121	hitler getting his tan on	0
122	i'm uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice	1
123	when you're facetimeing and accidently fall down the stairs	0
124	when your wife and girlfriend dont get along	0
125	i like your cologne what is that? tricare? deers	0
126	literally nobody: white people sitting at the bar: can you put it on the golf channel??	1
127	bitch, say something else	0
128	this is racist but this is not?????	0
129	your tits... in my hands, put them you will	0
130	there must be some way this victimizes me	0
131	"when your eating out your grandma and you taste horse cum then think to yourself ""oh that's how she died"	0
132	damn girl that's a policy i could get behind	0
133	this guy grabs your girl's ass in the bar what do you do?	0
134	it's important to listen to your elders please don't forget!	0
135	when you have to make your own pool	0
136	that look when you wanna cut a bitch but you remember your a changed man	1
137	if you believe that, i've got a virgin goat to sell you!	0
138	immigration invasion learn the difference	0
139	want one as a slave when you watch how slow they work and you wonder why anyone would	0
140	when you finally buy a dishwasher this works a lot better than a sponge	0
141	we build our houses with stone	0
142	whats the difference between santa and the jews santa goes down the chimney	1
143	how to remember kid in hot car keep 2nd road beer with them	0
144	you are so cute	0
145	it's ma'am!! yooouu lookah like a man	1
146	bigbird singing to child on seasame street	0
147	best part about a hooker dying on you? the 2nd hour is free	0
148	the enemy within ilhan omar linda sarsour rashida tlaib ocasto-cortez	0
149	white people already paid reparations	0
150	making america white again	0
151	scared you today, didn't i?	0
152	subway is similar to prostitution you pay someone else to do your wife's job	1
153	my friends coming to see me after a crazy friday night	0
154	trump supporters be like mexicans stole my teeth	0
155	i heard we can get free steroids in australia please help feed and house this poor, defenceless refugee. don't be racist and let me in!	1
156	go be gay somewhere else	1
157	celebreated 4/20 on january 5th because i know how to reduce fractions	0
158	when the employee asks what bra size you wear	0
159	god: *creates jews* god: *creates jesus* jews: *kill jesus* god: *creates hitler* god:	1
160	gays aids it really be like that	1
161	congratulations it's non binary	0
162	islam is the religion of peace! if you don't agree i kill you!	1
163	send me sexy pic	0
164	when you're a convicted rapist but reruns of your show are still on tv because it's not like you tweeted something	0
165	when they don't get the memo that they lost the war	0
166	the look you give when the bubbles in the pool are pulsating your pussy just kidding she's retarted and thats her normal face	1
167	racing for pink slips in africa	1
168	we kill you on 9/11 and you elect 3 of us to congress, stupid infidels!	1
169	if he's marrying me then why's he fucking my mom	0
170	when you bout to nut in your cousin and you hear the barn door open	0
171	9 months before i was born i went to a party with my dad and left with my mom	0
172	go be gay somewhere else	1
173	just got a bootleg copy of muslim porn deep goat	1
174	cute getting ready to start kid her life too bad shes already fkn' dead raped and murdered by an illegal immigrant	1
175	what women think they'll do when the economy collapses vs what they'll actually do	0
176	when she smiles at you from a distance	0
177	see if you can find the guys from white chicks lol	0
178	smirked at an adult media coverage: 30 days shot up a school media coverage: 2 days	0
179	"nothing says ""pull me over"" like some red solo cup brake lights!"	0
