	text	label
0	muslims have sex with goats wipe their asses with their hands and drink camel piss but im the unclean one	1
1	just taking a nap at walmart	0
2	when shes mad at you but you want her attention	0
3	if hes marrying me then whys he fucking a goat	0
4	do you think she is beautiful don beck not yet but shes getting there	0
5	islam is love ariana grande yeah if youre a goat	1
6	excuse me anyone can wear a dress	0
7	and then i told that goat fucker suck my star spangled dick	1
8	german british danish austrian diversity apparently we dont have it and these guys do iraqi pakistani syrian egyptian	1
9	when you eat her ass and then she say that she dont suck dick wayment	0
10	chillin with my chromies	1
11	when shes trying her hardest to make you cum but you already visited your favorite goat	1
12	since 1980 324000 thousand black peoplehave been murdered by other black people thats more then the soldiers who were killed in the iraq war korean war and vietnam combined now do you see a problem	1
13	afghan muslim men make him look like a girl so they can have sex with him he is just a little boy stop the abuse	1
14	hahaha fuck you bitch	0
15	who knew that this country is full of white trash	0
16	its messed up you can accidentally make a baby but you cant accidentally make a pizza	0
17	oh youre tired of my antitrump posts why dont you pray for me to stop	0
18	making a quick snack	0
19	felling cute might fuck a goat later idk	1
20	dont be rude folks go to their page and wish them a happy easter	0
21	when the serb kid starts talking mad shit	1
22	when your little one brings home his first girlfriend	0
23	the banality of evil	0
24	never forget you said i am the proof you have forgotten	1
25	the enemy within linda sarsour ocasiocortez rashida tlaib ilhan omar	0
26	my sandwich maker is very slow today	1
27	were glad youre home the russians pooped in the hallway	0
28	in this edition we dont buy property we steal it	0
29	justin come here the chevy faggots are mad again	1
30	would you rather have a gay son or thug son	1
31	when you make a meme using a different language that everyone can still understand no es mucho pero es trabajo honesto	0
32	silence female retard	1
33	starts nazi party and wages war on other cultures	0
34	when the wife comes home early and the valve covers in the dishwasher are still on rinse	0
35	chinese ppl be like happy thanksgiving	0
36	there are only two genders male female	1
37	incest never goes wrong	1
38	white people is this a shooting range	0
39	hello brother wait is that a shotgun	0
40	partial arts	0
41	all she wants to do is play all day	0
42	shopping is boring why not have some fun at the walmart parking lot	0
43	if you kill a killer the number of killers in the world remains the same batman lol okay faggot punisher	1
44	so you want me to yell maga and punch jussie smollet	0
45	a girl asks her mom why am i black and youre white she says the way that party went youre lucky you dont bark	1
46	need a job the democrat party is hiring no experience or intelligence required	0
47	im not saying it was muslims but it was muslims	0
48	your black neighbor after you called the cops	1
49	what do you call pool full of handicap people vegetable soup	1
50	section 3 devide and rule in religionbased riots crime will be trust upon hindus only even though a hindu gets killed at the hands of the minorities they will not be taken as guilty	1
51	holding cooking classes for those with disabilities gives them a new form of independence	0
52	i dont think he understands the gravity of his situation	0
53	whos there knock knock not this bitch obviously	1
54	washington and cornwallis at laguardia	0
55	are we there yet	0
56	if they raise theirs and destroy our flag are they really people we want here	0
57	shut the fuck up feminists are not angry tomboyish lesbians	0
58	blind people will be so happy when they see these new emojis	1
59	run forrest run d	0
60	when you catch your goat running from the farm ya done fucked up	0
61	he is proving that grown adults can be a bully	0
62	today in the news more peaceful terrorists blowing up shit	0
63	loves me some boneless jungle ham	0
64	when you finally headshot 150 black people	1
65	my hair is half up and half down	0
66	look at the bright side you are only half black now	1
67	kick islam out of america you cant walk with god holding hands with the devil	1
68	when you tell her to get ready to go but youre just going to walmart	0
69	when you havent robbed for a week	1
70	72 virgins are ready to get fucked up	1
71	i believe they are like racism just shouldnt exist	1
72	made rice krispies way before kellogs	1
73	not sure if youre being funny or stupid	0
74	islam is the religion of peace dont believe me then i will blow you up	1
75	that look you give when you got your fix but not your kids	1
76	survives ebola thankful to see another day	0
77	when your boss calls on your day off oh fuck youre gonna make me come	0
78	what would kids think if we mixed punk with rap	0
79	be careful with pedestrians	0
80	jesus take the wheel carlos you take the stereo and ill take lookout	1
81	one of the most sold items this holiday season	0
82	those that attack one muslim are attacking all muslims those that attack one american are attacking all americans	0
83	a transgendered 4 year old is like a vegan cat we all know who is making their lifestyle choices	1
84	it is time to meet king arthur at the round table	0
85	you say dirty infidel i say filthy goyim you make them become cucks ill mow them down with trucks side by side for white genocide	1
86	i cant wait to name you its almost been 9 months	0
87	beauty shot of girlfriends focusing on different thoughts and ideas	0
88	because of trump walmart is selling american made appliances again	1
89	buckle up sugar tits cause im about to take you to pound town in the fuck truck	0
90	im so fucking gay i cant even think straight	0
91	roses are red violets are fuck i count to potatoe then to firetruck	0
92	best thing about an ethiopian blowjob you know shes gonna swallow	1
93	if youre proud to be white then this is the radio station for you	0
94	this offends me ban them do you agree	0
95	inbreeding its dangerous and wrong i stand here as living proof	1
96	when you find out the girl you like doesnt like dank memes got me fucked up i bet she wipes back to front what a thot that foolish hoe i hope she die	0
97	when she calls you a man but she paid own bride price to marry you	0
98	my father and mother like me to be a boxer	0
99	the perfect bag doesnt exi	0
100	jamal im pregnant	1
101	shut up ontario	0
102	fuck it my final thought before making most decisions	0
103	wheres my water	0
104	they will soon be free	0
105	knock knock whos there your parent now open up this damn door	0
106	tweekers be like yall hear that shit	0
107	a group of baboons is called a congress suddenly makes sense	0
108	this lady is not amused	0
109	when you and ya partner see an unarmed black youth	1
110	it doesnt matter how good your grades are or if you have a high iq if you lack logic reason and common sense youre fucking stupid	0
111	whenever you feel stupid remember there are people who throw stones at a wall aiming for an invisible devil told by an invisible god for an invisible heaven	1
112	we can kill as many as we want and your stupid government keeps bringing us in	1
113	child protective services takes away children from parents who dont vaccinate but theyre perfectly fine with them	1
114	told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded	1
115	anything that doesnt belong to them black people	1
116	my favorite sex position is the challenger i go hard for 73 seconds then prematurley blow	0
117	i dont always have sweaty balls but when i do theyre wetter than a tiajuana hooker during spring break and smell like a zombies vagina	0
118	we destroy the world and kill a lot of people know the history and learn from it	0
119	im long and strong and down to get the goat hump on	0
120	when youre so happy n to be with family	0
121	i coined a new phrase for muslim terrorists proxy jews	1
122	dick so good it made my pussy retarded	1
123	palestines are not human beings they dont deserve to live and they are nothing but animals	1
124	michelle is very jealous she didnt get a yummy hog dog to eat	0
125	i slipped and fell on black ice i thought it was regular ice but when i got up my wallet was gone	1
126	kill the jews and muslims for being antiwhite	1
127	yes i ordered my justice department not to prosecute hillary clinton donald trump and to frame so what are you going to do about it	0
128	how uncivilized typical nigger	1
129	my gas bill was this high	0
130	me every time im out in public theres too too many people on this this earth we need a new plague	0
131	clint eastwood and michelle obama	0
132	and just like that people forgot about area 51 started wanting to look like 80 year olds	0
133	a rare picture of the beautiful jewish girl anne frank	0
134	what do you call a black guy in a tree with a briefcase a branch manager	0
135	often eat vegetablesbu when	0
136	muslim terrorist spy anti semite the poster child of the left	0
