	Unnamed: 0	text	label
2482	2482	muslims have sex with goats wipe their asses with their hands and drink camel piss but i'm the unclean one!	1
7293	7293	just taking a nap at walmart	0
333	333	when she's mad at you but you want her attention	0
355	355	if he's marrying me then why's he fucking a goat	0
9071	571	do you think she is beautiful? don beck not yet but she's getting there	0
5135	5135	"""islam is love!"" - ariana grande yeah. if you're a goat"	1
2597	2597	excuse me! anyone can wear a dress!	0
6683	6683	and then i told that goat fucker suck my star spangled dick	1
8878	378	german british danish austrian diversity. apparently we don't have it and these guys do: iraqi pakistani syrian egyptian	1
4150	4150	when you eat her ass and then she say that she don't suck dick... wayment	0
180	180	chillin with my chromies	1
2562	2562	when she's trying her hardest to make you cum but you already visited your favorite goat	1
5222	5222	since 1980 324,000 thousand black peoplehave been murdered by other black people thats more then the soldiers who were killed in the iraq war, korean war and vietnam combined now do you see a problem?	1
8443	8443	afghan muslim men make him look like a girl so they can have sex with him! he is just a little boy! stop the abuse	1
854	854	hahaha... fuck you bitch	0
6250	6250	who knew that this country is full of white trash	0
7960	7960	it's messed up you can accidentally make a baby but you can't accidentally make a pizza	0
260	260	oh, you're tired of my anti-trump posts? why don't you pray for me to stop?	0
8841	341	making a quick 3pm snack	0
3231	3231	felling cute. might fuck a goat later idk	1
2006	2006	don't be rude, folks go to their page and wish them a happy easter	0
2192	2192	when the serb kid starts talking mad shit	1
2884	2884	when your little one brings home his first girlfriend	0
3197	3197	the banality of evil	0
7659	7659	"""never forget"" -you said.. i am the proof- you have forgotten"	1
1349	1349	the enemy within linda sarsour ocasio-cortez rashida tlaib ilhan omar	0
1575	1575	my sandwich- maker is very slow today	1
4493	4493	we're glad you're home the russians pooped in the hallway!	0
245	245	in this edition we don't buy property; we steal it!	0
1441	1441	justin come here the chevy faggots are mad again	1
4133	4133	would you rather have a gay son or thug son	1
223	223	when you make a meme using a different language that everyone can still understand: no es mucho, pero es trabajo honesto	0
4508	4508	silence female retard	1
4066	4066	starts nazi party ... and wages war on other cultures	0
6837	6837	when the wife comes home early and the valve covers in the dishwasher are still on rinse	0
244	244	chinese ppl be like happy thanksgiving	0
6364	6364	there are only two genders: male female	1
3476	3476	incest never goes wrong	1
1098	1098	white people is this a shooting range?	0
4314	4314	hello brother wait is that a shotgun?	0
5780	5780	partial arts	0
6919	6919	all she wants to do is play all day	0
8966	466	shopping is boring. why not have some fun at the walmart parking lot?	0
6850	6850	"""if you kill a killer, the number of killers in the world remains the same."" -batman ""lol, okay faggot."" -punisher"	1
3318	3318	so you want me to yell maga and punch jussie smollet	0
316	316	"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. """	1
6389	6389	need a job? the democrat party is hiring no experience or intelligence required	0
1209	1209	i'm not saying it was muslims but it was muslims	0
7299	7299	your black neighbor after you called the cops	1
5466	5466	what do you call pool full of handicap people? vegetable soup	1
6851	6851	section 3: devide and rule ! in religion-based riots, crime will be trust upon hindus only. even though a hindu gets killed at the hands of the minorities, they will not be taken as guilty	1
2885	2885	holding cooking classes for those with disabilities gives them a new form of independence	0
1682	1682	i don't think he understands the gravity of his situation	0
5686	5686	who's there knock, knock. not this bitch [ obviously ]	1
1082	1082	washington and cornwallis at laguardia	0
4732	4732	are we there yet	0
7304	7304	if they raise theirs and destroy our flag are they really people we want here ??	0
6246	6246	shut the fuck up! feminists are not angry, tomboyish lesbians!	0
3249	3249	blind people will be so happy when they see these new emojis	1
5586	5586	run forrest!!! run!!! :d	0
7834	7834	when you catch your goat running from the farm ya done fucked up	0
5739	5739	he is proving that grown adults can be a bully	0
3663	3663	"today in the news more 'peaceful terrorists"" blowing up shit"	0
4012	4012	loves me some boneless jungle ham	0
3229	3229	when you finally headshot 150 black people	1
9034	534	my hair is half up and half down	0
1973	1973	look at the bright side you are only half black now	1
2455	2455	kick islam out of america you can't walk with god holding hands with the devil	1
7655	7655	when you tell her to get ready to go, but you're just going to walmart	0
6263	6263	when you haven't robbed for a week	1
8583	83	72 virgins are ready to get fucked up	1
8842	342	i believe they are like racism just shouldn't exist	1
8209	8209	made rice krispies way before kellogs	1
1146	1146	not sure if you're being funny or stupid	0
645	645	islam is the religion of peace! don't believe me? then i will blow you up	1
5019	5019	that look you give when you got your fix but not your kids	1
7975	7975	survives ebola thankful to see another day	0
2642	2642	when your boss calls on your day off oh fuck you're gonna make me come	0
6159	6159	what would kids think if we mixed punk with rap	0
749	749	be careful with pedestrians	0
1196	1196	jesus take the wheel. carlos, you take the stereo. and i'll take lookout	1
7549	7549	one of the most sold items this holiday season!	0
2773	2773	"""those that attack one muslim, are attacking all muslims"" those that attack one american, are attacking all americans! """	0
8396	8396	a transgendered 4 year old is like a vegan cat we all know who is making their lifestyle choices	1
7468	7468	it is time.. to meet king arthur at the round table	0
4860	4860	you say dirty infidel, i say filthy goyim! you make them become cucks, i'll mow them down with trucks! side by side for white genocide!	1
2611	2611	i cant wait to name you its almost been 9 months	0
8803	303	beauty shot of girlfriends focusing on different thoughts and ideas	0
2553	2553	because of trump walmart is selling american made appliances again	1
7122	7122	buckle up sugar tits 'cause i'm about to take you to pound town in the fuck truck	0
320	320	i'm so fucking gay i can't even think straight	0
7778	7778	roses are red, violets are fuck i count to potatoe, then to firetruck	0
768	768	best thing about an ethiopian blowjob?... you know shes gonna swallow!!!	1
1829	1829	if you're proud to be white then this is the radio station for you	0
593	593	this offends me ban them do you agree?	0
1700	1700	inbreeding it's dangerous and wrong i stand here as living proof	1
6411	6411	"when you find out the girl you like doesn't like dank memes ""got me fucked up"" ""i bet she wipes back to front"" ""what a thot"" ""that foolish hoe"" ""i hope she die"""	0
5059	5059	when she calls you a 40sec man but she paid own bride price to marry you	0
2980	2980	my father and mother like me to be a boxer	0
2474	2474	the perfect bag doesnt exi--	0
2817	2817	jamal! im pregnant!!!	1
5894	5894	shut up ontario	0
3233	3233	"""fuck it"" - my final thought before making most decisions"	0
8165	8165	where's my water?	0
15	15	they will soon be free	0
6487	6487	knock knock. who's there? your parent! now open up this damn door	0
682	682	tweekers be like y'all hear that shit!?	0
2550	2550	a group of baboons is called a congress suddenly makes sense!	0
6053	6053	this lady is not amused	0
7561	7561	when you and ya partner see an unarmed black youth	1
3107	3107	it doesn't matter how good your grades are or if you have a high iq if you lack logic, reason and common sense you're fucking stupid	0
8735	235	whenever you feel stupid, remember there are people who throw stones at a wall! aiming for an invisible devil, told by an invisible god for an invisible heaven!	1
5394	5394	we can kill as many as we want and your stupid government keeps bringing us in	1
6604	6604	child protective services takes away children from parents who don't vaccinate but they're perfectly fine with them	1
8559	59	told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded	1
7542	7542	anything that doesn't belong to them black people	1
2584	2584	my favorite sex position is the challenger i go hard for 73 seconds then prematurley blow	0
2959	2959	i don't always have sweaty balls but when i do, they're wetter than a tiajuana hooker during spring break and smell like a zombie's vagina	0
8044	8044	we destroy the world and kill a lot of people. know the history and learn from it	0
7667	7667	im long and strong and down to get the goat hump on	0
9048	548	when you're so happy n to be with family	0
4490	4490	i coined a new phrase for muslim terrorists: proxy jews	1
5971	5971	dick so good it made my pussy retarded	1
3709	3709	"""palestines are not human beings, they don't deserve to live and they are nothing but animals."""	1
8070	8070	michelle is very jealous she didn't get a yummy hog dog to eat	0
3258	3258	i slipped and fell on black ice i thought it was regular ice but when i got up my wallet was gone	1
4214	4214	kill the jews and muslims for being anti-white	1
6155	6155	yes i ordered my justice department not to prosecute hillary clinton donald trump and to frame so what are you going to do about it	0
2392	2392	how uncivilized typical nigger	1
2423	2423	my gas bill was this high	0
4879	4879	me every time i'm out in public there's too too many people on this this earth. we need a new plague	0
4834	4834	clint eastwood and michelle obama	0
2251	2251	and just like that, people forgot about area 51 started wanting to look like 80 year olds	0
1748	1748	a rare picture of the beautiful jewish girl, anne frank	0
379	379	what do you call a black guy in a tree with a briefcase.. a branch manager	0
9127	627	often eat vegetables...bu when	0
7692	7692	muslim terrorist, spy anti semite the poster child of the left	0
63	63	obama working to legalize medical cannabis for all of the usa	0
8301	8301	when all the younglings are cornered in a room this is when the fun begins	0
4334	4334	my kids will never know that awful feeling of realizing there's no vhs tape behind the box at the video store	0
1406	1406	i hate when i see a black out in my neighborhood but i still offer my neighbors a candle	1
2404	2404	when you try to catch a dark type pokemon	1
2210	2210	yo dude, who passed the aux cord?	0
4290	4290	happy kids	0
2641	2641	somewhere in a galaxy far, far, away someone will say the n-word	0
375	375	been dropping blessings all year like	0
995	995	been talking shit about trump since day one. now crying like bitches after getting called out	0
2063	2063	you have adhd? well, i know a place i can send you where you'll learn to concentrate	1
6920	6920	show intolerance for other's religions expect highest level of tolerance for their own	1
6657	6657	kill all americans & remind them islam is peaceful	1
5612	5612	either this works or i'm screwed	0
8907	407	white kids kids dreaming about their first day of school	1
5144	5144	they can kill the messenger but they can't kill the message	0
1008	1008	when you forget who you are, you too forget who they are	0
4075	4075	i swear harvey's been chasing the same fly for the last 13 years	0
9093	593	derek chauvin will need protection because he will definitely get attacked	0
4422	4422	but then again this is too good, ekse	0
2256	2256	just trying to do my part	0
1680	1680	then i grabbed the booty like, yahhhhhh	0
3936	3936	guess whose house wasn't raided by the fbi?	0
7630	7630	donald trump proving you don't have to be poor to be white trash	1
3553	3553	seriously mate.. what's the fuckin point?	0
5985	5985	do you know why i pulled you over? because you scored low on the asvab?	0
6353	6353	when an indian man marries he scratches the dot off his wife's forehead to see if he's won a gas station, a motel, or a subway restaurant	1
6544	6544	this could be us but you keep escaping	0
3347	3347	the third person in your tag list owes you a nigger	1
5838	5838	who said that women can't park	1
8110	8110	"the face they make when you've left the ""plantation"" and you no longer think like them"	1
7325	7325	4 ways to boil vegetables	0
4634	4634	sacred cross? sounds like bullshit let me call my friend who's an expert in bullshit and fairy tales	0
3397	3397	what your ancestors were doing july 4, 1776 what dummies do today for july 4th	0
7747	7747	happy president's day mr. president!	0
8319	8319	"""democrats have a difficult time connecting with voters because of how smart we are... because we know so much."" ~ sen. mazie hirono (d hi)"	0
1779	1779	for what turn down	0
3696	3696	he can be his new boy firend	0
5377	5377	that's black people for you what did you expect?	1
1487	1487	don't let this group get you downs	0
3971	3971	how white men look at you after they've already called the cops	1
3561	3561	when you step on a lego on your front porch	0
5699	5699	equality in the work place at its finest	0
2143	2143	the only time you'll see a muslim hugging a pig	1
7237	7237	fuck that puto!!!!	0
6642	6642	this old ass honky is a porch monkey 4-life you look at my woman step off johnny law	1
6072	6072	when the porn video features a tranny but then 'she' turns out to be a midget too you had my curiosity but now you have my attention	1
3379	3379	we can kill as many as we want and your stupid government keeps bringing us in	0
5156	5156	immigrants wave our flag invaders wave their own	0
543	543	they trained you to hate the only man with the balls to stand up to them	1
2887	2887	back off murderers we fight for justice	0
4067	4067	when the dope man tells you you're onna have to earn a front but i poop from there.	0
8321	8321	how to pick up jewish chicks	1
3668	3668	when your wife is secretly a dinosaur, and you don't find out before she givs birth to four crossbreed raptors	0
673	673	new swing set installed at linkin park	1
2982	2982	the only kkk to ever let black men in	0
6355	6355	when the school shooter finally leaves and the hottest girl in class is laying dead on the floor it's free real estate	1
3059	3059	in other contries in porkistan	1
2156	2156	"when you're fuhrking her from the back and she says ""i'll pay the gas bill daddy."""	1
6102	6102	when you finally get to go outside after being in the barn all winter	0
2480	2480	ugly mafuckas be like... bru, i know she want me i got dreads	0
4650	4650	making mashed potatoes	1
1739	1739	stay in step you loser	0
4715	4715	we are the knights who say nigger	1
3698	3698	a fire cracker	0
569	569	why isn't my drain working? probably cause the pipe's black	1
3975	3975	when you fall face first in the mud	0
1701	1701	i was going to paint my bathroom door but my girlfriend was dead against it	0
4450	4450	shit... the dishwasher is broken again	0
775	775	breaking news a zoo's chimpanzee escaped containment	0
2399	2399	shut up you meathead	0
1438	1438	sea monkeys	0
7896	7896	i see! '' ''	0
8643	143	i'm going home i'm russian	0
1767	1767	and that was the last nativity play my son was invited to take part in	1
8570	70	lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently	1
807	807	i only wear silk panties cotton ones remind me of slavery	0
8406	8406	homosexuals get beheaded so the men cover themselves up	1
8644	144	if the brim of your hat is flat and has a sticker on it i automatically assume you're a complete tool	0
4035	4035	there was a 4 car pile-up in mexico today 93 people died	1
423	423	i didn't choose the tranny life the tranny life choose me	1
5448	5448	ah the young they blow up so quickly	0
4439	4439	oh how cute.... a guinea pig.	0
8462	8462	i fucking hate dog shagging islamist cunts	1
1600	1600	im arrested and im in trouble	0
39	39	happy shot in the face day 5-2-2011	0
6776	6776	why do muslims were towels on their heads so if they run out of toilet paper they have something to wipe their ass	1
636	636	i got some  down bitches i can call	0
6972	6972	feisch smeil	0
7919	7919	when you see your goat with another man	1
1705	1705	when the fbi raids your house and catches you nutting to 24 petabytes of child porn wonderful weather we're having	0
304	304	i may be blind but at least i'm rich!	0
1876	1876	i don't want to get attached to anyone anymore... it only destroys me in the end	0
3070	3070	squatted trucks for when sucking dick while getting buttfucked just isn't gay enough	1
2786	2786	you're a rapist, you're a rapist, all mexicans are rapists!	1
3099	3099	the old lady shows arthur what she used to do during the war	0
7739	7739	that look you give when dressed to the t	0
5935	5935	love is love	0
3633	3633	cameraman: i don't understan- psychic kid: trust me this will be really funny someday	1
3964	3964	it's a boy	0
3537	3537	you mad? yeah, you're mad	0
2276	2276	and if anything happens, the women are to blame that's right, it's their fault, definitely	1
2022	2022	when your uber driver arrives but you're probably safer driving drunk	0
7697	7697	when you start second guessing why you started the fight	0
2505	2505	you just went full goat fucker never go full goat fucker	0
1719	1719	how dark is your humor? me:	1
1346	1346	chocolate good job it dosen't make all children smile	0
7031	7031	hope you had fun investigating me now it's my turn	0
7786	7786	flowers for martin luther king day	0
4472	4472	adding coolant when the farm equipment overheats	1
516	516	it didn't happen because of the actions of one man it happened because of people who were 'just doing their jobs'	0
183	183	this is really out of mein kampfert zone	0
4742	4742	raising goats is hard work	0
2379	2379	has anyone seen gary? gary is about this tall	0
6429	6429	this is where i belong	0
6004	6004	"""why do ""white people"" own so many pets ? because we're not allowed to own people anymore """	1
6203	6203	"black people started wearing their pants low, white people called it ""saggin."" spell saggin backwards... those sneaky white people"	1
3053	3053	me respect women no, i don't believe bush did 9-11 it's just a meme	1
3418	3418	when each letter is a mental disorder	1
1889	1889	i just realized my life turned out better than yours checkmate, bitch	0
2660	2660	the military finally captured the massive orangutan	1
1102	1102	when each letter is a mental disorder	1
7883	7883	#usher and i have something in common we both got burned	0
8014	8014	chinese people be like happy thanksgiving	1
6462	6462	we have enough thoughts and prayers please send bobs and vagine	1
9087	587	people who make fun of me are clowns and cowards	0
5650	5650	"take advantage of u.n. and foreign aid-funded housing and benefits ""death to the west!"""	1
3274	3274	what do you call double stacked ovens? jewish bunk beds	1
3441	3441	photo shooting day in office	0
2857	2857	if you kill as many as you want our goverment will put you in jail	0
5213	5213	what society thinks they will do vs what women will do when the economy collapses	1
7379	7379	when you tryna not be islamaphobic but that dudes backpack a lil too bulky	1
6225	6225	man of the year	0
9054	554	when they say white folks don't know how to cook	0
5214	5214	mark zuckerberg marries an asian who else is capable of counting all his money?	1
2780	2780	when you meet that gender studies student again my genders have doubled since the last time we met	0
5216	5216	more men with guns were sent to arrest 66 year old roger stone than clinton and obama sent to rescue our men in benghazi	0
4423	4423	when mom dresses you for picture day	0
7993	7993	i am the biggest piece of shit in london!	0
1651	1651	god loves all his children, all of them	0
1455	1455	whats the difference between boy scouts and jews? boy scouts come back from camp	1
3674	3674	black men! think! killing each other is like killing soldiers in your own army	0
1976	1976	stop domestic abuse	0
8466	8466	israel must be destroyed no you scumbag piece of dogshit, daughter of a syphilitic pig you will be destroyed	1
3216	3216	imagine if you will a group of people so disgusting.. ...they have to make laws making it illegal to hate them	0
7763	7763	see this? it means furfags not welcome!	1
3039	3039	apparently the british public can't put their finger on the problem	0
6499	6499	fight for our country to keep the land we made home	0
8540	40	and just like that... this sandwich maker doubles as ironing board	1
1329	1329	the media calls them refugees but this is what you will get	0
7177	7177	donald trump making his supporters laugh at a rally	0
836	836	where's this bird box everyone's taking about?	0
8972	472	"best gamer ever 6 million kills, 1 death"""	0
984	984	"""hi. i'm the electrician. i'm here to remove your shorts, and check your box."""	0
6081	6081	how hungry people eat their food mmmm.... delicious	0
4716	4716	dudes be like i'm just going to like all of her pics... except for the ones of her and her man	0
1446	1446	hide and seek european champion 1942-1944	0
2298	2298	meanwhile at the isis strip club	0
4182	4182	in my day you were either pro america or you were a commie you can call yourself liberal, progressive or socialist but you're really nothing more than a commie pinko john wayne was never in the military	0
6082	6082	mexicans are rapist i'm lovin' it happy hump day bitch	1
2881	2881	vw owners be like hmm_must be a tdi meet	0
4739	4739	"when your ex says ""you won't find a b*tch half the woman i am"""	1
1546	1546	felt cute, might go sit down to pee idk	0
1180	1180	when you think of a cute idea for maternity pictures	0
5158	5158	what's really crazy is it is illegal for minors to drink but not for minors to be taking hormones and having surgery to change their appearance to the opposite gender. and nobody cares that gender reassignment is being paid for with their tax money and insurance premiums	0
1291	1291	you're one ugly motherfucker	0
1482	1482	how they see themselves how god sees them!	0
6422	6422	now is the winter of our discontent day made glorious summer by this hump	0
3271	3271	rise of the planet of the apes (1963)	1
1355	1355	yes i'm trying to divide the country i'm dividing the illegals from the actual citizens	0
2032	2032	meanwhile at the isis strip club	0
2101	2101	after 3 million years of evolution we have only lost the hair!	1
7167	7167	black friday sale	0
2797	2797	my pussy is getting hard	1
960	960	says he's going to destroy isis too scared to speak in chicago	0
8128	8128	wait, mohammad come back!! i didn't mean to laugh,really size doesh't matter to me lol	1
214	214	ever notice that christians are bad drivers	1
4344	4344	i hate snow its cold	0
131	131	"when your eating out your grandma and you taste horse cum then think to yourself ""oh that's how she died"	0
943	943	he asked me if its permissible to smoke marijuana in muslim country. so i told him in our contries only gays get stoned	1
1327	1327	what's the difference between an illegal immigrant and e.t.? e.t. learned to speak english and he wanted to go home!	1
3614	3614	you'll see both of the pics similar close your eyes 50	1
2217	2217	you knew i was a snake when you let me in	0
8987	487	thanksgiving in china	0
5023	5023	we can kill as many as we want and your stupid government keeps bringing us in	1
6948	6948	admins be like this my group	0
1039	1039	"*hits blunt* 'dog food lid' spelled backwards is ""dildo of god'"	0
6158	6158	just bought my first slow cooker	1
6359	6359	when you can't decide to pre heat the oven or just throw the meal in right away	1
1841	1841	six months ago i couldn't spell kongris now lare one!!!	0
4633	4633	this is nahir nahir is born in germany nahir is german this is fluffy fluffy is born in horse stable fluffy is a horse	1
8823	323	when mom asks where all the jews went	0
4270	4270	when you're so racist you won't even hire white guys to commit fake white hate crimes against yourself!	1
4787	4787	after 3 million years of evolution we have only lost the hair!	0
8026	8026	i know you like her son, but you can't just pull a girls hair... until she's 30 or so. they actually come around on this one	0
6831	6831	acceptance of individuality is not a disgusting thing	0
6172	6172	that's a nice turkey sandwich  it's ha'am!	0
1328	1328	not my president not my residents	0
7055	7055	my irony meter just exploded	0
6510	6510	when a transgender takes a pregnancy test	1
5397	5397	we've ever seen worst case of suicide hear about that black guy who was shot 38 times?	1
1930	1930	the only people who truly love each other based on personality are asians because they all look the same	1
861	861	what's the worst part of being black and jewish? having to sit at the back of the gas chamber that's reich	1
8261	8261	talks about good morals day and night gets a boner from looking at a goat's ass	1
3160	3160	north american pavement ape	1
3956	3956	banned for life from twitter for criticizing a movie. used twitter to promote a hoax hate crime, risking an entire race war. still on twitter	0
5677	5677	that's enough facebook for today this sammich isn't going to make itself	0
4416	4416	the pope says trump is not a christian because christians dont build walls vatican walls are 40 feet high	0
5324	5324	motorcross bikes are ridden by drug dealers and gang members because they can easily elude law enforcement mothers against death sports if your child has an interest in motorcross they may have joined a gang or be involved in the illegal drug trade	0
5328	5328	mess with me and you mess with the whole trailer park!	0
4606	4606	i dont like sandwiches . oh well nevermind ..	0
6265	6265	what's black on top and white on bottom rape	1
6553	6553	baltimore is not infested with rats they live there	0
4632	4632	hey barack, my tranny is better than yours!	1
1727	1727	the bald eagle represents the strength and freedom of america	0
4140	4140	he can be his new boy firend	0
8083	8083	so like, why are men even gay? girls have buttholes too you know..	1
2734	2734	i can't kill the terrorists. they're all my relatives!!!	1
772	772	i'm here to drink whiskey and kill terrorists and brother i'm all out of whiskey!	0
687	687	this is my wife and it is 100 percent legal under sharia law that is a fact coming to a city near you	1
7195	7195	you say islam is violent? i will kill you	1
7854	7854	everyone jews why does the world hate us ?	1
8157	8157	on my way home had a hard week	0
3676	3676	yes sir..! that's a cock	0
5524	5524	when you're the only girl at the gang bang	1
7827	7827	what in the cornbread hell	0
7041	7041	they bow to a black woman while blacks praise... well ...you know who	1
8651	151	that blood you donated could be in someone's boner right now	0
6518	6518	see? i fuckin told you! a little foil on top keeps them jewsy	0
3119	3119	a muslim was here '' '' ''	0
5810	5810	"""i hate the word homophobia it's not a phobia why would i be scared of a faggot?"""	1
5624	5624	do i hear flutes, drums and the sash	0
3297	3297	the hardest part about breaking up with her is when you don't want to lose her	0
4157	4157	me trying to tell my her not giving a shit liberal friend how because all men are much i love and trash appreciate her	1
2934	2934	stupid you are breed you should not	0
4172	4172	hey mom the goats asshole is inside out. what do?	1
5958	5958	execute a plan to accept your actual born sex you'll be happier when you do	1
691	691	make the best out of what you have	0
6467	6467	drive very cautiously on this road of life because folks will turn on you with no signal	0
6086	6086	i am ready to serve my first term	0
2844	2844	they told me to clean my weapons so i washed my hands	0
1527	1527	when you dont stir the nesquick powder in your milk enough	1
193	193	hold up when she says she likes hung black men so you take her back to your place and she starts tying a noose	1
643	643	promises trump is going to be arrested gets arrested the day after it's confirmed trump isn't going to be arrested	0
7386	7386	obama trump pewdiepie's wedding	0
3727	3727	last summer it was very hot	0
8233	8233	the cast of the view heading out to protest trump	0
5527	5527	i see american troops coming this way	0
3220	3220	oh you talk so tough from behind your keyboard tell me again what a badass you are	0
6777	6777	your birthday's good... but it needs more cowbell	0
4077	4077	fuckin' slaves	1
3596	3596	trump can't swing it	0
8959	459	when you date an asian boy and you trynna get his family to accept you	1
4770	4770	what does blm stand for? black lives matter	0
2686	2686	what happens when you stay out in the sun for too long	0
