text	category
its their character not their color that matters	0
don't be afraid to love again everyone is not like your ex	0
putting bows on your pet	0
i love everything and everybody! except for squirrels i hate squirrels	0
everybody loves chocolate chip cookies, even hitler	0
go sports! do the thing! win the points!	0
fine you're right. now can we fucking drop it?	0
tattoos are bad for your health i know 5 million people that had tattoos and they all died	1
how long can i run? till the chain tightens	0
what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored	0
jew mad? get fuhrerious!	1
removes polish with chemicals, nobody bats an eye	0
brother... a day without a blast is a day wasted	1
when you're the only dog left at the dog shelter and the black family wants to adopt you	0
voting for hillary is like letting casey anthony watch your kids because she's not guilty	0
they will soon be free	0
"is it ok for your son or daughter to call another man ""daddy?"	0
most religions are religions of peace	0
when you find out there's an opening for the role of first lady	0
if people reject me because i stand on the truth then i have no problem walking alone	0
from the bottom of my heart i would like to sincerely apologize..... for being white	0
lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border	0
just because they do this dosen't mean they'll do this	0
if there is no race it can't be homicide	1
here's to all my friends who never post about politics or religion	0
enjoying a day at the beach	0
when you come home from a long day of suicide bombinb and your wife gives you this look	1
is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.	0
when they take too long to blow out the candle	0
one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell	0
d.j. osama spin laden droppin' beats like the twin towers	1
move to new york they said it'll be fun they said	0
my sandwich-maker is very slow today	0
when you accidentally fall in the toilet	0
two woman walking home together after a nice day out together	0
texas churches be like... pew pew pew	0
i don't always have a heat stroke and get frostbite in the same week but when i do i know i'm in kentucky	0
doesn't wear tampons because she trips over the string	0
when you can't decide to pre heat the oven or just throw the meal in right away	0
happy shot in the face day 5-2-2011	0
1 bomb every minute	0
black power comes with a lot of responsibility	0
that chiken is so black no one is going to eat it	0
i hope both teams lose	0
say the damn pronouns	0
goin	0
we need problem solvers not racist and religious bigots in office	0
officer down	0
we said we would never forget why are you voting them into our government?	1
when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention	1
"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism"""	0
nice watch must have cost an arm and a leg	0
